STARTING!
Log parameter values verbosely: [0]
Num threads: [4]
Graph: [inception_v4.tflite]
Enable op profiling: [1]
#threads used for CPU inference: [4]
Loaded model inception_v4.tflite
INFO: Initialized TensorFlow Lite runtime.
The input model file size (MB): 170.674
Initialized session in 2.276ms.
Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
count=1 curr=534738

Running benchmark for at least 50 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
count=50 first=512162 curr=537893 min=512162 max=539047 avg=522356 std=6285

Inference timings in us: Init: 2276, First inference: 534738, Warmup (avg): 534738, Inference (avg): 522356
Note: as the benchmark tool itself affects memory footprint, the following is only APPROXIMATE to the actual memory footprint of the model at runtime. Take the information at your discretion.
Peak memory footprint (MB): init=12.0156 overall=217.203
Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
	             [node type]	          [start]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	           CONCATENATION	          362.883	    0.156	    0.160	  0.031%	 69.509%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6e/concat]:105
	                 CONV_2D	          363.044	    3.744	    3.791	  0.726%	 70.235%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6f/Branch_0/Conv2d_0a_1x1/Relu]:106
	                 CONV_2D	          366.836	    1.948	    1.986	  0.380%	 70.615%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6f/Branch_1/Conv2d_0a_1x1/Relu]:107
	                 CONV_2D	          368.822	    3.190	    3.280	  0.628%	 71.243%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6f/Branch_1/Conv2d_0b_1x7/Relu]:108
	                 CONV_2D	          372.104	    4.261	    4.372	  0.837%	 72.081%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6f/Branch_1/Conv2d_0c_7x1/Relu]:109
	                 CONV_2D	          376.477	    2.028	    2.074	  0.397%	 72.478%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6f/Branch_2/Conv2d_0a_1x1/Relu]:110
	                 CONV_2D	          378.552	    2.862	    2.931	  0.561%	 73.040%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6f/Branch_2/Conv2d_0b_7x1/Relu]:111
	                 CONV_2D	          381.484	    3.134	    3.320	  0.636%	 73.675%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6f/Branch_2/Conv2d_0c_1x7/Relu]:112
	                 CONV_2D	          384.806	    3.864	    3.945	  0.756%	 74.431%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6f/Branch_2/Conv2d_0d_7x1/Relu]:113
	                 CONV_2D	          388.752	    4.325	    4.352	  0.834%	 75.265%	     0.000	        1	[InceptionV4/InceptionV4/Mixed_6f/Branch_2/Conv2d_0e_1x7/Relu]:114
